"station_in","station_out","value","shortest_paths"
"三门路","东方体育中心",5,19
"三门路","东昌路",40,12
"三门路","东明路",4,18
"三门路","东陆路",2,15
"三门路","中兴路",91,9
"三门路","中华艺术宫",6,15
"三门路","中山公园",28,14
"三门路","中山北路",1,10
"三门路","中春路",1,23
"三门路","中潭路",29,10
"三门路","丰庄",9,17
"三门路","临平路",13,8
"三门路","临沂新村",5,16
"三门路","临港大道",2,26
"三门路","九亭",20,24
"三门路","书院",1,25
"三门路","云台路",7,17
"三门路","云山路",1,17
"三门路","云锦路",2,19
"三门路","五莲路",2,17
"三门路","五角场",55,2
"三门路","交通大学",49,15
"三门路","人民广场",67,11
"三门路","伊犁路",55,18
"三门路","佘山",3,26
"三门路","兆丰路",2,27
"三门路","共富新村",4,18
"三门路","共康路",2,15
"三门路","凌兆新村",12,20
"三门路","凌空路",2,23
"三门路","刘行",1,23
"三门路","剑川路",1,28
"三门路","北新泾",12,17
"三门路","北桥",4,27
"三门路","北洋泾路",1,15
"三门路","华夏东路",2,21
"三门路","华夏西路",4,20
"三门路","南京东路",189,10
"三门路","南京西路",90,12
"三门路","南浦大桥",5,15
"三门路","南翔",10,20
"三门路","南陈路",1,19
"三门路","博兴路",1,18
"三门路","友谊西路",1,20
"三门路","友谊路",1,18
"三门路","合川路",5,20
"三门路","同济大学",121,4
"三门路","后滩",1,18
"三门路","周浦东",8,18
"三门路","唐镇",8,19
"三门路","商城路",9,13
"三门路","嘉善路",16,16
"三门路","嘉定北",6,25
"三门路","嘉定新城",6,22
"三门路","四川北路",91,8
"三门路","四平路",54,5
"三门路","国权路",33,3
"三门路","国际客运中心",15,10
"三门路","场中路",1,17
"三门路","塘桥",16,15
"三门路","外环路",1,22
"三门路","外高桥保税区北",1,22
"三门路","大世界",21,12
"三门路","大华三路",5,14
"三门路","大场镇",2,16
"三门路","大木桥路",9,16
"三门路","大渡河路",9,14
"三门路","大连路",31,9
"三门路","天潼路",54,9
"三门路","威宁路",10,16
"三门路","娄山关路",32,15
"三门路","宁国路",3,11
"三门路","安亭",3,26
"三门路","宋园路",24,17
"三门路","宜山路",32,17
"三门路","宝山路",7,8
"三门路","富锦路",3,21
"三门路","小南门",5,14
"三门路","岚皋路",8,12
"三门路","川沙",11,22
"三门路","巨峰路",2,16
"三门路","市光路",1,13
"三门路","常熟路",5,14
"三门路","广兰路",34,18
"三门路","延吉中路",20,9
"三门路","延安西路",11,15
"三门路","张江高科",37,16
"三门路","彭浦新村",1,14
"三门路","徐家汇",41,16
"三门路","徐泾东",16,21
"三门路","御桥",1,18
"三门路","德平路",5,16
"三门路","惠南",6,23
"三门路","惠南东",1,24
"三门路","成山路",26,17
"三门路","打浦桥",25,15
"三门路","提篮桥",14,10
"三门路","新场",6,21
"三门路","新天地",65,13
"三门路","新村路",2,13
"三门路","新江湾城",14,2
"三门路","新闸路",2,11
"三门路","昌吉东路",2,24
"三门路","昌平路",9,13
"三门路","星中路",3,21
"三门路","春申路",1,24
"三门路","曲阜路",8,10
"三门路","曲阳路",17,6
"三门路","曹杨路",36,12
"三门路","李子园路",3,16
"三门路","杨思",11,18
"三门路","杨树浦路",11,10
"三门路","杨高中路",11,13
"三门路","杨高北路",1,17
"三门路","杨高南路",8,18
"三门路","松江体育中心",2,30
"三门路","松江大学城",3,28
"三门路","松江新城",4,29
"三门路","枫桥路",8,13
"三门路","桂林路",17,18
"三门路","桃浦新村",5,19
"三门路","武威路",1,18
"三门路","武宁路",6,13
"三门路","殷高东路",3,1
"三门路","民生路",1,14
"三门路","水城路",23,19
"三门路","汉中路",4,10
"三门路","江月路",11,23
"三门路","江杨北路",1,20
"三门路","江浦公园",7,10
"三门路","江浦路",24,7
"三门路","江湾体育场",89,1
"三门路","江湾镇",1,10
